lat, long, city, addresstype
40.1777112,44.5126233,Երևան,city
40.3755885,49.8328009,Bakı,city
12.3681873,-1.5270944,Ouagadougou,city
-3.3638125,29.3675028,Bujumbura,city
-4.2694407,15.2712256,Brazzaville (commune),municipality
5.320357,-4.016107,Abidjan,city
-4.3217055,15.3125974,Kinshasa,city
31.1991806,29.8951716,الإسكندرية,city
30.0443879,31.2357257,القاهرة,city
29.9870753,31.2118063,الجيزة,city
9.0358287,38.7524127,አዲስ አበባ / Addis Ababa,city
5.5571096,-0.2012376,Accra,city
28.6273928,77.1716954,Delhi,state
-6.175247,106.8270488,Daerah Khusus Jakarta,city
32.5395939,44.4241563,آثار بابل,locality
33.3061701,44.3872213,بغداد,city
13.7524938,100.4935089,กรุงเทพมหานคร,city
39.9207759,32.8540497,Ankara,city
0.3177137,32.5813539,Kampala,city
33.5130695,36.3095814,دمشق,city
14.693425,-17.447938,Dakar,city
32.896672,13.1777923,طرابلس,city
34.02236,-6.8340222,Rabat ⵔⴱⴰⵟ الرباط,city
19.4326296,-99.1331785,Ciudad de México,city
15.452011,36.3770699,كسلا,city
4.8459246,31.5959173,Juba City,payam
41.006381,28.9758715,İstanbul,city
33.6938118,73.0651511,اسلام آباد,city
9.561733,44.061803,Hargeysa هرجيسا,city
-17.831773,31.045686,Harare,city
34.5260109,69.1776838,کابل,city
13.524834,2.109823,Niamey,city
-1.3026148499999999,36.82884201813725,Nairobi,city
-25.966213,32.56745,Cidade de Maputo,city
6.4550575,3.3941795,Lagos,city
3.1516964,101.6942371,Kuala Lumpur,state
-1.950851,30.061507,Kigali,city
15.5635972,32.5349123,الخرطوم,city
10.5060934,-66.9146008,Caracas,city
12.789585,45.028504,مدينة عدن,city
15.6628336,43.942995,عمران,city
15.3538569,44.2058841,صنعاء,city
14.5424624,49.1231345,المكلا,city
