lat,lon,total_precipitation
15.5635972,32.5349123,32.60000000000006
15.6030862,32.5262226,32.60000000000006
15.6445536,32.4777311,32.60000000000006
11.783333,30.916667,297.2999999999995
12.4165122,34.2964679,294.9999999999993
15.6353826,32.4259901,29.20000000000005
11.033333,27.733333,252.99999999999858
15.6478476,32.5345797,32.60000000000006
19.619217,37.211709,167.79999999999916
19.55339805,37.22456779,69.39999999999993
13.4420205,22.4459786,279.0999999999996
16.0431989,36.0181112,60.10000000000014
15.452011,36.3770699,94.39999999999974
13.6238244,25.3555559,114.79999999999976
12.2809691,24.7741672,186.59999999999945
12.0505098,24.8795115,184.0999999999994
13.183366,30.222559,111.09999999999977
13.17996295,30.21906244,111.09999999999977
14.040941,35.398832,205.89999999999938
13.9758355,35.0850849,198.69999999999914
14.3474693,35.8085215,233.4999999999993
14.3965781,33.5309561,89.99999999999983
13.1521864,32.6725113,107.29999999999995
11.4611731,26.1310939,211.8999999999994
13.0161778,24.8516253,176.1999999999996
13.1440522,33.9283527,186.7999999999993
10.556617,34.2849452,540.100000000002
11.863337,34.387746,382.4000000000004
11.8073636,34.3656298,363.4000000000005
14.2467437,32.9858537,71.60000000000001
13.55,33.633333,142.09999999999948
13.0,33.5,164.29999999999927
13.5424054,33.6103555,142.09999999999948
16.76754615,35.06201671,37.70000000000008
17.690719,33.98073,18.400000000000002
14.8542713,35.8961749,169.2999999999995
17.586944,33.938333,16.89999999999998
12.692159,28.422103,106.1999999999997
10.9573767,30.0366156,349.50000000000057
11.07259465,29.60101163,291.59999999999945
11.0085934,29.7155751,319.3
13.997187,32.30946,59.00000000000021
19.1728506,30.4731589,4.7
13.0019199,25.5709799,103.29999999999986
12.905825,31.2147916,111.69999999999963
13.03331905,29.74229317,126.79999999999966
14.0471223,22.8551202,254.79999999999953
16.68492015,33.44131806,32.10000000000005
16.6884963,33.432286,27.900000000000063
14.766667,33.316667,77.39999999999999
18.043988,30.95119,6.7
19.5378928,33.3248471,6.299999999999999
19.5375512,33.32344012,6.299999999999999
14.7961329,23.8018744,123.3999999999999
14.2115036,24.6474419,266.4999999999997
14.2108373,24.649584,266.4999999999997
18.9721642,37.3367957,103.29999999999964
19.116667,37.333333,85.09999999999982
19.103071,37.331236,85.09999999999982
18.4303582,37.7339322,97.69999999999986
18.85178525,37.89893299,284.30000000000086
18.4314352,37.7241742,97.69999999999986
18.4291035,37.73555577,97.69999999999986
13.066104,23.6837741,388.1000000000003
12.9134096,23.4738132,430.4000000000005
14.8762914,32.3703723,34.000000000000114
14.266667,33.766667,92.59999999999982
11.3305456,27.8095803,209.89999999999924
15.83563375,32.52331777,23.300000000000015
26.6816822,31.4870251,3.0
12.834517,30.3119799,141.1999999999995
18.0263236,33.9925728,14.499999999999986
18.545128,31.847617,7.399999999999997
14.23154475,27.93157381,32.900000000000084
10.411715,29.285342,335.20000000000084
14.23656,27.938155,32.900000000000084
18.4811972,31.8171688,7.399999999999997
19.6418582,30.4080538,1.9000000000000008
18.3329475,36.3860147,30.500000000000025
18.33388745,36.39013188,30.500000000000025
13.1844655,32.7398062,123.19999999999968
11.8,28.4,234.99999999999912
12.949878,31.9250508,102.59999999999961
14.766667,33.633333,96.39999999999974
11.7104852,28.3448982,234.99999999999912
